link,azimuth_bs_imt,elevation_bs_imt,azimuth_ep_fs,elevation_ep_fs,path_loss_db
EP06-Cell0038,-124.7,0.5,-131.7,-0.5,244.2
EP06-Cell0039,-244.7,0.5,-251.7,-0.5,244.2
EP06-Cell0040,0.9,0.3,-6.1,-0.3,235.3
EP06-Cell0041,-119.1,0.3,-126.1,-0.3,235.3
EP06-Cell0042,-239.1,0.3,-246.1,-0.3,235.3
EP06-Cell0043,15.8,-0.1,8.8,0.1,232.3
EP06-Cell0044,-104.2,-0.1,-111.2,0.1,232.3
EP06-Cell0045,-224.2,-0.1,-231.2,0.1,232.3
EP06-Cell0046,18.8,0.2,11.8,-0.2,243.2
EP06-Cell0047,-101.2,0.2,-108.2,-0.2,243.2
EP06-Cell0048,-221.2,0.2,-228.2,-0.2,243.2
EP06-Cell0049,11.1,0.4,4.1,-0.4,248.5
EP06-Cell0050,-108.9,0.4,-115.9,-0.4,248.5
EP06-Cell0051,-228.9,0.4,-235.9,-0.4,248.5
EP06-Cell0052,0.8,0.5,-6.2,-0.5,241.8
EP06-Cell0053,-119.2,0.5,-126.2,-0.5,241.8
EP06-Cell0054,-239.2,0.5,-246.2,-0.5,241.8
EP06-Cell0055,-5.3,0,-12.3,0,200.3
EP06-Cell0056,-125.3,0,-132.3,0,200.3
EP06-Cell0057,-245.3,0,-252.3,0,200.3
EP07-Cell0001,23,-0.6,0,0.6,243.5
EP07-Cell0002,-97,-0.6,-120,0.6,243.5
EP07-Cell0003,-217,-0.6,-240,0.6,243.5
EP07-Cell0004,18.5,-0.7,-4.5,0.7,241.3
EP07-Cell0005,-101.5,-0.7,-124.5,0.7,241.3
EP07-Cell0006,-221.5,-0.7,-244.5,0.7,241.3
EP07-Cell0007,26.7,-0.3,3.7,0.3,254.2
EP07-Cell0008,-93.3,-0.3,-116.3,0.3,254.2
EP07-Cell0009,-213.3,-0.3,-236.3,0.3,254.2
EP07-Cell0010,25.8,-0.9,2.8,0.9,233.3
EP07-Cell0011,-94.2,-0.9,-117.2,0.9,233.3
EP07-Cell0012,-214.2,-0.9,-237.2,0.9,233.3
EP07-Cell0013,29.6,-0.8,6.6,0.8,247.7
EP07-Cell0014,-90.4,-0.8,-113.4,0.8,247.7
EP07-Cell0015,-210.4,-0.8,-233.4,0.8,247.7
EP07-Cell0016,16.5,-0.4,-6.5,0.4,249.7
EP07-Cell0017,-103.5,-0.4,-126.5,0.4,249.7
EP07-Cell0018,-223.5,-0.4,-246.5,0.4,249.7
EP07-Cell0019,20.7,-0.5,-2.3,0.5,243.2
EP07-Cell0020,-99.3,-0.5,-122.3,0.5,243.2
EP07-Cell0021,-219.3,-0.5,-242.3,0.5,243.2
EP07-Cell0022,13.1,-0.7,-9.9,0.7,241.8
EP07-Cell0023,-106.9,-0.7,-129.9,0.7,241.8
EP07-Cell0024,-226.9,-0.7,-249.9,0.7,241.8
EP07-Cell0025,29.4,-1.2,6.4,1.2,233.8
EP07-Cell0026,-90.6,-1.2,-113.6,1.2,233.8
EP07-Cell0027,-210.6,-1.2,-233.6,1.2,233.8
EP07-Cell0028,36.3,-0.4,13.3,0.4,253
EP07-Cell0029,-83.7,-0.4,-106.7,0.4,253
EP07-Cell0030,-203.7,-0.4,-226.7,0.4,253
EP07-Cell0031,29.8,-0.5,6.8,0.5,250.1
EP07-Cell0032,-90.2,-0.5,-113.2,0.5,250.1
EP07-Cell0033,-210.2,-0.5,-233.2,0.5,250.1
EP07-Cell0034,18.8,-0.1,-4.2,0.1,253.2
EP07-Cell0035,-101.2,-0.1,-124.2,0.1,253.2
EP07-Cell0036,-221.2,-0.1,-244.2,0.1,253.2
EP07-Cell0037,10.4,-0.2,-12.6,0.2,261.1
EP07-Cell0038,-109.6,-0.2,-132.6,0.2,261.1
EP07-Cell0039,-229.6,-0.2,-252.6,0.2,261.1
EP07-Cell0040,21.1,-0.6,-1.9,0.6,239.3
EP07-Cell0041,-98.9,-0.6,-121.9,0.6,239.3
EP07-Cell0042,-218.9,-0.6,-241.9,0.6,239.3
EP07-Cell0043,33.3,-0.9,10.3,0.9,242.8
EP07-Cell0044,-86.7,-0.9,-109.7,0.9,242.8
EP07-Cell0045,-206.7,-0.9,-229.7,0.9,242.8
EP07-Cell0046,32.8,-0.5,9.8,0.5,248.2
EP07-Cell0047,-87.2,-0.5,-110.2,0.5,248.2
EP07-Cell0048,-207.2,-0.5,-230.2,0.5,248.2
EP07-Cell0049,24.2,-0.2,1.2,0.2,253.3
EP07-Cell0050,-95.8,-0.2,-118.8,0.2,253.3
EP07-Cell0051,-215.8,-0.2,-238.8,0.2,253.3
EP07-Cell0052,14.9,-0.2,-8.1,0.2,256.1
EP07-Cell0053,-105.1,-0.2,-128.1,0.2,256.1
EP07-Cell0054,-225.1,-0.2,-248.1,0.2,256.1
EP07-Cell0055,11.6,-0.7,-11.4,0.7,240.3
EP07-Cell0056,-108.4,-0.7,-131.4,0.7,240.3
EP07-Cell0057,-228.4,-0.7,-251.4,0.7,240.3
EP08-Cell0001,31.2,-0.6,0,0.6,237.1
EP08-Cell0002,-88.8,-0.6,-120,0.6,237.1
EP08-Cell0003,-208.8,-0.6,-240,0.6,237.1
EP08-Cell0004,28,-0.7,-3.2,0.7,219
EP08-Cell0005,-92,-0.7,-123.2,0.7,219
EP08-Cell0006,-212,-0.7,-243.2,0.7,219
EP08-Cell0007,33.8,-0.3,2.6,0.3,252.2
EP08-Cell0008,-86.2,-0.3,-117.4,0.3,252.2
EP08-Cell0009,-206.2,-0.3,-237.4,0.3,252.2
EP08-Cell0010,34.5,-0.9,3.3,0.9,232.9
EP08-Cell0011,-85.5,-0.9,-116.7,0.9,232.9
EP08-Cell0012,-205.5,-0.9,-236.7,0.9,232.9
EP08-Cell0013,37.1,-0.7,5.9,0.7,243.4
EP08-Cell0014,-82.9,-0.7,-114.1,0.7,243.4
EP08-Cell0015,-202.9,-0.7,-234.1,0.7,243.4
EP08-Cell0016,25.2,-0.5,-6,0.5,245.3
EP08-Cell0017,-94.8,-0.5,-126,0.5,245.3
EP08-Cell0018,-214.8,-0.5,-246,0.5,245.3
EP08-Cell0019,28.4,-0.5,-2.8,0.5,239.3
EP08-Cell0020,-91.6,-0.5,-122.8,0.5,239.3
EP08-Cell0021,-211.6,-0.5,-242.8,0.5,239.3
EP08-Cell0022,24.1,-0.7,-7.1,0.7,235.3
EP08-Cell0023,-95.9,-0.7,-127.1,0.7,235.3
EP08-Cell0024,-215.9,-0.7,-247.1,0.7,235.3
EP08-Cell0025,38.5,-1.1,7.3,1.1,235.2
EP08-Cell0026,-81.5,-1.1,-112.7,1.1,235.2
EP08-Cell0027,-201.5,-1.1,-232.7,1.1,235.2
EP08-Cell0028,42.9,-0.4,11.7,0.4,255.6
EP08-Cell0029,-77.1,-0.4,-108.3,0.4,255.6
EP08-Cell0030,-197.1,-0.4,-228.3,0.4,255.6
EP08-Cell0031,36.1,-0.5,4.9,0.5,246.2
EP08-Cell0032,-83.9,-0.5,-115.1,0.5,246.2
EP08-Cell0033,-203.9,-0.5,-235.1,0.5,246.2
EP08-Cell0034,26.1,-0.2,-5.1,0.2,249.7
EP08-Cell0035,-93.9,-0.2,-125.1,0.2,249.7
