fs_id,snapshot,inr_db,interf_dbm
EP05,12,-60.473925434188175,-155.95132055288775
EP05,13,-67.4724322693927,-162.94982738809227
EP05,14,-69.04709317516117,-164.52448829386074
EP05,15,-72.4232677137633,-167.90066283246287
EP05,16,-62.21251041976359,-157.68990553846317
EP05,17,-79.82297923413321,-175.3003743528328
EP05,18,-46.23029499602464,-141.70769011472422
EP05,19,-74.59886278573231,-170.07625790443188
EP05,20,-58.179923463719376,-153.65731858241895
EP05,21,-79.4498272322748,-174.92722235097438
EP05,22,-68.46729737660155,-163.94469249530113
EP05,23,-67.54681762455527,-163.02421274325485
EP05,24,-61.707968437803686,-157.18536355650326
EP05,25,-84.59577942614195,-180.07317454484152
EP05,26,-74.52945995453416,-170.00685507323374
EP05,27,-67.05743851820256,-162.53483363690214
EP05,28,-61.27560019194158,-156.75299531064115
EP05,29,-68.86765155728375,-164.34504667598333
EP05,30,-69.36401140476107,-164.84140652346065
EP05,31,-76.70534745432664,-172.18274257302622
EP05,32,-77.75218575301142,-173.229580871711
EP05,33,-64.79089359054103,-160.2682887092406
EP05,34,-75.09454209701715,-170.57193721571673
EP05,35,-65.15974669798749,-160.63714181668706
EP05,36,-74.70541871835371,-170.1828138370533
EP05,37,-60.223789147673585,-155.70118426637316
EP05,38,-68.10594989896566,-163.58334501766524
EP05,39,-70.5165948050992,-165.99398992379878
EP05,40,-74.8604247070599,-170.33781982575948
EP05,41,-71.40918442496036,-166.88657954365993
EP05,42,-83.33854679735086,-178.81594191605043
EP05,43,-69.8150813021241,-165.29247642082368
EP05,44,-82.83924275797906,-178.31663787667864
EP05,45,-70.34582735897234,-165.82322247767192
EP05,46,-78.54681864492017,-174.02421376361974
EP05,47,-81.92075115236412,-177.3981462710637
EP05,48,-69.64666247051304,-165.1240575892126
EP05,49,-61.43972992180653,-156.9171250405061
EP05,50,-81.84172040445759,-177.31911552315717
EP05,51,-69.54201491262006,-165.01941003131964
EP05,52,-68.20429937825796,-163.68169449695753
EP05,53,-70.49196769221544,-165.96936281091502
EP05,54,-56.263142523822296,-151.74053764252187
EP05,55,-69.69956059190224,-165.17695571060182
EP05,56,-69.5437357872712,-165.02113090597078
EP05,57,-58.87714369403875,-154.35453881273833
EP05,58,-68.53116228146229,-164.00855740016186
EP05,59,-70.00548490162822,-165.4828800203278
EP05,60,-73.81711568176814,-169.29451080046772
EP05,61,-77.70453431343225,-173.18192943213182
EP05,62,-75.19484065108162,-170.6722357697812
EP05,63,-72.01465795940001,-167.4920530780996
EP05,64,-64.50139108470304,-159.97878620340262
EP05,65,-68.5629196335257,-164.04031475222527
EP05,66,-75.60340510925948,-171.08080022795906
EP05,67,-64.70220594862053,-160.1796010673201
EP05,68,-72.71052369037727,-168.18791880907685
EP05,69,-63.13546101431919,-158.61285613301877
EP05,70,-64.0734986905108,-159.55089380921038
EP05,71,-46.55822955691568,-142.03562467561525
EP05,72,-71.34741535422665,-166.82481047292623
EP05,73,-67.81919036070852,-163.2965854794081
EP05,74,-63.52208653520415,-158.99948165390373
EP05,75,-64.46367477385823,-159.9410698925578
EP05,76,-76.49173912933296,-171.96913424803253
EP05,77,-67.0031977180563,-162.48059283675587
EP05,78,-58.96672438670737,-154.44411950540695
EP05,79,-73.22790068231387,-168.70529580101345
EP05,80,-63.46538492105054,-158.94278003975012
EP05,81,-58.431840527416654,-153.90923564611623
EP05,82,-71.44140715548977,-166.91880227418935
EP05,83,-78.98816385847744,-174.465558977177
EP05,84,-61.70495046568979,-157.18234558438937
EP05,85,-76.426052813833,-171.90344793253257
EP05,86,-71.05518457026469,-166.53257968896426
EP05,87,-53.92639662235055,-149.40379174105013
EP05,88,-78.72041048479738,-174.19780560349696
EP05,89,-67.94548417271065,-163.42287929141023
EP05,90,-63.616456134759176,-159.09385125345875
EP05,91,-62.33308986465562,-157.8104849833552
EP05,92,-62.93538188279922,-158.4127770014988
EP05,93,-61.73982302778086,-157.21721814648043
EP05,94,-62.714499348259125,-158.1918944669587
EP05,95,-62.183168652007936,-157.6605637707075
EP05,96,-73.48465735244594,-168.9620524711455
EP05,97,-77.6479774866844,-173.12537260538397
EP05,98,-71.3270155810263,-166.80441069972588
EP05,99,-68.51866243037523,-163.9960575490748
EP05,100,-80.06837568312841,-175.54577080182798
EP06,1,-55.49531294820713,-150.9727080669067
EP06,2,-46.8117920821054,-142.28918720080497
EP06,3,-30.768890851857094,-126.24628597055667
EP06,4,-49.57755611847597,-145.05495123717554
EP06,5,-36.685104027321415,-132.162499146021
EP06,6,-53.072840534719006,-148.55023565341858
EP06,7,-62.64601178857231,-158.12340690727189
EP06,8,-49.24505386268274,-144.7224489813823
EP06,9,-34.35230159512406,-129.82969671382364
EP06,10,-55.25438500340451,-150.73178012210408
EP06,11,-42.97974570699151,-138.45714082569108
EP06,12,-55.32859010887688,-150.80598522757646
EP06,13,-36.68902390282125,-132.16641902152082
EP06,14,-42.98550665957055,-138.46290177827012
EP06,15,-42.0458755387933,-137.52327065749287
EP06,16,-46.9056310966584,-142.38302621535797
EP06,17,-57.16487249853637,-152.64226761723594
EP06,18,-53.37957627433593,-148.8569713930355
EP06,19,-36.57207534820657,-132.04947046690614
EP06,20,-38.36861771452169,-133.84601283322127
EP06,21,-60.84240561860554,-156.31980073730512
EP06,22,-45.89234324238191,-141.3697383610815
EP06,23,-46.7913349916812,-142.26873011038077
