fs_id,snapshot,inr_db,interf_dbm
EP19,13,-62.17093480900422,-157.6483299277038
EP19,14,-67.23253002043981,-162.7099251391394
EP19,15,-60.74855349532248,-156.22594861402206
EP19,16,-55.60495288167124,-151.0823480003708
EP19,17,-63.19599904408429,-158.67339416278386
EP19,18,-63.646225244331674,-159.12362036303125
EP19,19,-62.752298589437544,-158.22969370813712
EP19,20,-56.991218198648596,-152.46861331734817
EP20,1,-48.93237748394023,-144.4097726026398
EP20,2,-45.33062116608684,-140.80801628478642
EP20,3,-25.239251652518718,-120.7166467712183
EP20,4,-40.65367893641462,-136.1310740551142
EP20,5,-23.323430219055183,-118.80082533775476
EP20,6,-44.94728067490266,-140.42467579360223
EP20,7,-20.429804783074744,-115.90719990177432
EP20,8,-43.74265555417341,-139.220050672873
EP20,9,-21.0634058322527,-116.54080095095227
EP20,10,-50.53879186490079,-146.01618698360036
EP20,11,-17.90625719209102,-113.3836523107906
EP20,12,-35.56461910833238,-131.04201422703196
EP20,13,-16.236175135596866,-111.71357025429644
EP20,14,-35.52611124442464,-131.00350636312422
EP20,15,-25.347240189988156,-120.82463530868773
EP20,16,-27.30543758573124,-122.78283270443082
EP20,17,-30.779419940523297,-126.25681505922287
EP20,18,-43.28103916666194,-138.75843428536152
EP20,19,-41.720863224818174,-137.19825834351775
EP20,20,-25.431207274796677,-120.90860239349625
